City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
94,Cenotillo,MX,2022-04-09 00:47:28,20.9667,-88.6167,73.26,53,100,10.02,overcast clouds
95,Ambulu,ID,2022-04-09 00:47:28,-8.345,113.6058,79.16,84,30,2.01,scattered clouds
96,Lompoc,US,2022-04-09 00:47:29,34.6391,-120.4579,87.78,67,8,5.01,clear sky
97,Geraldton,AU,2022-04-09 00:47:29,-28.7667,114.6,68.41,73,100,14.97,overcast clouds
98,Mar Del Plata,AR,2022-04-09 00:43:47,-38.0023,-57.5575,65.08,91,0,4.0,clear sky
99,Carnarvon,AU,2022-04-09 00:42:58,-24.8667,113.6333,71.67,73,16,6.91,few clouds
100,Fortuna,US,2022-04-09 00:47:30,40.5982,-124.1573,55.85,66,0,23.02,clear sky
101,Hurricane,US,2022-04-09 00:44:04,37.1753,-113.2899,84.54,12,11,3.11,few clouds
102,Jamestown,US,2022-04-09 00:47:30,42.097,-79.2353,40.59,78,100,3.44,overcast clouds
103,Codrington,AU,2022-04-09 00:47:30,-38.2667,141.9667,69.8,60,97,11.16,overcast clouds
104,Aksarka,RU,2022-04-09 00:47:31,66.5606,67.7975,-7.62,100,100,0.78,overcast clouds
105,Ust-Maya,RU,2022-04-09 00:47:31,60.4167,134.5333,25.61,75,12,4.34,few clouds
106,Deputatskiy,RU,2022-04-09 00:47:32,69.3,139.9,-1.52,94,100,4.99,overcast clouds
107,Marawi,PH,2022-04-09 00:47:33,7.9986,124.2928,69.22,98,100,3.56,overcast clouds
108,Vila Franca Do Campo,PT,2022-04-09 00:47:34,37.7167,-25.4333,63.01,89,84,30.71,broken clouds
109,Chernyshevskiy,RU,2022-04-09 00:47:35,63.0128,112.4714,18.75,95,100,6.91,overcast clouds
110,Saskylakh,RU,2022-04-09 00:47:36,71.9167,114.0833,1.89,100,100,4.5,overcast clouds
111,Bengkulu,ID,2022-04-09 00:47:37,-3.8004,102.2655,77.14,81,73,2.73,broken clouds
112,Iroquois Falls,CA,2022-04-09 00:47:37,48.7669,-80.6831,31.86,95,100,4.36,overcast clouds
113,Nalut,LY,2022-04-09 00:47:38,30.3333,10.85,64.78,27,18,14.38,few clouds
114,Lebu,CL,2022-04-09 00:47:39,-37.6167,-73.65,52.9,90,2,6.06,clear sky
115,Totton,GB,2022-04-09 00:47:40,50.9188,-1.4904,40.51,86,99,5.82,overcast clouds
116,El Alto,PE,2022-04-09 00:47:41,-4.2714,-81.2147,70.48,77,99,10.76,overcast clouds
117,Qaanaaq,GL,2022-04-09 00:47:42,77.484,-69.3632,-5.28,65,0,7.0,clear sky
118,Barrow,US,2022-04-09 00:47:43,71.2906,-156.7887,5.02,72,100,16.11,light snow
119,Vernon,CA,2022-04-09 00:47:43,50.2581,-119.2691,57.56,29,9,11.5,clear sky
120,Isangel,VU,2022-04-09 00:47:44,-19.55,169.2667,85.06,72,99,12.12,overcast clouds
121,Carutapera,BR,2022-04-09 00:47:45,-1.195,-46.02,75.34,95,100,1.95,light rain
122,Batsfjord,NO,2022-04-09 00:47:47,70.6345,29.7185,33.58,86,100,29.93,overcast clouds
123,Tokur,RU,2022-04-09 00:47:48,53.1333,132.9,24.66,85,100,1.63,overcast clouds
124,Baykit,RU,2022-04-09 00:47:48,61.67,96.37,20.62,89,92,1.28,overcast clouds
125,Pudozh,RU,2022-04-09 00:47:49,61.8099,36.5345,39.85,98,100,11.59,overcast clouds
126,New Norfolk,AU,2022-04-09 00:47:51,-42.7826,147.0587,68.88,52,7,1.01,clear sky
127,Tarakan,ID,2022-04-09 00:47:52,3.3,117.6333,81.9,83,75,5.75,light rain
128,Hamilton,US,2022-04-09 00:47:53,39.1834,-84.5333,43.65,76,100,11.5,overcast clouds
129,Husavik,IS,2022-04-09 00:47:56,66.0449,-17.3389,20.64,84,37,5.26,scattered clouds
130,San Cristobal,VE,2022-04-09 00:47:56,7.7669,-72.225,73.58,90,97,1.63,overcast clouds
131,Maldonado,UY,2022-04-09 00:47:56,-34.6667,-54.9167,65.59,95,0,5.44,clear sky
132,Fenelon Falls,CA,2022-04-09 00:47:57,44.5334,-78.7496,42.03,93,100,4.5,overcast clouds
133,Chinhoyi,ZW,2022-04-09 00:47:58,-17.3667,30.2,63.48,78,99,6.29,overcast clouds
134,Fukue,JP,2022-04-09 00:47:59,32.6881,128.8419,64.76,72,0,8.05,clear sky
135,Nanortalik,GL,2022-04-09 00:47:59,60.1432,-45.2371,27.32,88,39,8.43,scattered clouds
136,Talnakh,RU,2022-04-09 00:48:00,69.4865,88.3972,-0.8,96,97,3.58,overcast clouds
137,Colares,PT,2022-04-09 00:48:00,38.7992,-9.4469,61.32,78,95,15.99,overcast clouds
138,Nikolskoye,RU,2022-04-09 00:48:00,59.7035,30.7861,35.8,94,66,6.53,broken clouds
