City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Sola,VU,82.96,scattered clouds,-13.8833,167.55,Leumerus Bungalows
516,Kailua,US,80.58,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
518,Chandbali,IN,78.71,clear sky,20.7833,86.7667,KABITA HOMES
520,Benguela,AO,75.09,light rain,-12.5763,13.4055,Hotel Praia Morena
523,Azoyu,MX,78.73,scattered clouds,16.7167,-98.7333,Hotel San Luis
525,Hebi,CN,79.99,overcast clouds,35.8992,114.1925,Wangfu Hotel
529,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
532,Sakakah,SA,78.37,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
539,Akyab,MM,78.37,few clouds,20.15,92.9,Hotel Memory
543,Sawakin,SD,76.95,clear sky,19.1059,37.3321,فندق الدويم
548,Juba,SS,80.08,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
554,Ixtapa,MX,75.22,overcast clouds,20.7,-105.2,hotel la terminal
555,Lazaro Cardenas,MX,77.92,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
557,Maningrida,AU,85.41,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
565,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
567,Willemstad,CW,80.51,few clouds,12.1084,-68.9335,Avila Beach Hotel
572,Neiafu,TO,86.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
573,Remanso,BR,77.85,few clouds,-9.6179,-42.0831,Hotel Mangueira
580,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
584,Sompeta,IN,78.87,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
586,Biak,ID,82.02,overcast clouds,-0.9131,122.8766,Penginapan Kim
587,Kiri Buru,IN,76.6,clear sky,22.0833,85.35,Lucky India
588,Suratgarh,IN,81.72,clear sky,29.3167,73.9,Maharaja Hotel
589,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
596,Sao Miguel Do Araguaia,BR,78.19,few clouds,-13.275,-50.1628,Hotel Executivo Palace
600,Samarinda,ID,75.22,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
603,Calamar,CO,79.36,overcast clouds,10.2511,-74.9146,Hostal Katyalex
608,Codajas,BR,75.16,light rain,-3.8367,-62.0569,Atlântic Hotel
610,Oussouye,SN,75.38,clear sky,12.485,-16.5469,Auberge du Routard
614,Pangai,TO,86.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
617,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
618,Ukiah,US,78.69,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
619,Kapit,MY,78.42,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
620,Mandera,KE,82.11,overcast clouds,3.9366,41.867,Hiren Hotel Mandera
629,Ailigandi,PA,79.02,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
631,Kununurra,AU,89.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
639,Kieta,PG,85.1,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
642,Lodwar,KE,83.95,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
645,Muli,MV,84.25,broken clouds,2.9167,73.5667,Medhufushi Island Resort
649,Esna,EG,78.82,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
652,Kuala Terengganu,MY,76.95,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
653,Touros,BR,80.06,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
663,Lucea,JM,80.46,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
664,Cap Malheureux,MU,76.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
673,Kayalpattinam,IN,79.11,scattered clouds,8.5667,78.1167,Jaithoon venture guest house
676,San Jose,US,85.28,broken clouds,37.3394,-121.895,The Westin San Jose
678,Etchoropo,MX,82.42,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
679,Yanam,IN,77.32,overcast clouds,16.7333,82.2167,The Regency Hotel
685,Moindou,NC,82.74,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
688,Grand Gaube,MU,76.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
693,Jose De Freitas,BR,76.15,moderate rain,-4.7564,-42.5756,É Antônio de Souza construção
698,Rio Branco,BR,77.61,scattered clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
