City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
87,Hilo,US,2022-04-11 22:18:32,19.7297,-155.09,90.28,78,100,11.5,overcast clouds
88,Comodoro Rivadavia,AR,2022-04-11 22:22:48,-45.8667,-67.5,53.46,76,40,5.75,scattered clouds
89,Deputatskiy,RU,2022-04-11 22:23:06,69.3,139.9,4.01,80,100,3.11,overcast clouds
90,Tiksi,RU,2022-04-11 22:20:49,71.6872,128.8694,-5.26,99,100,7.36,overcast clouds
91,Geraldton,AU,2022-04-11 22:21:22,-28.7667,114.6,52.21,93,0,6.91,clear sky
92,Banswara,IN,2022-04-11 22:24:50,23.55,74.45,83.66,21,92,6.22,overcast clouds
93,Tokur,RU,2022-04-11 22:21:50,53.1333,132.9,18.66,94,100,2.75,light snow
94,Taltal,CL,2022-04-11 22:21:41,-25.4,-70.4833,62.76,74,22,4.63,few clouds
95,Qaanaaq,GL,2022-04-11 22:20:36,77.484,-69.3632,-4.83,77,28,4.63,scattered clouds
96,Tautira,PF,2022-04-11 22:23:35,-17.7333,-149.15,81.18,76,30,15.73,light rain
97,Tonila,MX,2022-04-11 22:24:50,19.4336,-103.5166,81.03,48,20,17.27,few clouds
98,Tuktoyaktuk,CA,2022-04-11 22:20:48,69.4541,-133.0374,1.4,71,20,4.61,few clouds
99,Itarema,BR,2022-04-11 22:20:37,-2.9248,-39.9167,78.57,83,64,10.6,broken clouds
100,Tura,IN,2022-04-11 22:21:19,25.5198,90.2201,69.01,89,13,3.83,few clouds
101,Eydhafushi,MV,2022-04-11 22:24:51,5.1033,73.0708,84.06,74,16,12.19,few clouds
102,Saldanha,ZA,2022-04-11 22:21:16,-33.0117,17.9442,62.65,66,0,9.4,clear sky
103,Kodiak,US,2022-04-11 22:19:25,57.79,-152.4072,51.31,24,0,14.97,clear sky
104,Vao,NC,2022-04-11 22:21:39,-22.6667,167.4833,76.71,75,7,14.29,clear sky
105,Ahipara,NZ,2022-04-11 22:21:56,-35.1667,173.1667,66.33,78,100,10.18,overcast clouds
106,Ribeira Grande,PT,2022-04-11 22:20:57,38.5167,-28.7,60.96,92,100,13.76,overcast clouds
107,Chokurdakh,RU,2022-04-11 22:20:10,70.6333,147.9167,3.97,89,100,12.1,overcast clouds
108,Axim,GH,2022-04-11 22:20:46,4.8699,-2.2405,81.34,84,59,6.82,broken clouds
109,Chuy,UY,2022-04-11 22:20:54,-33.6971,-53.4616,68.52,91,49,7.36,scattered clouds
110,Goshogawara,JP,2022-04-11 22:24:52,40.8044,140.4414,59.41,66,1,5.91,clear sky
111,Tromso,NO,2022-04-11 22:24:50,69.6496,18.957,33.82,80,75,6.91,broken clouds
112,Mount Isa,AU,2022-04-11 22:21:00,-20.7333,139.5,83.97,28,44,5.75,scattered clouds
113,Parainen,FI,2022-04-11 22:24:53,60.3067,22.301,34.9,83,7,9.13,clear sky
114,Bredasdorp,ZA,2022-04-11 22:20:38,-34.5322,20.0403,65.25,75,0,1.48,clear sky
115,Stornoway,GB,2022-04-11 22:21:51,58.2093,-6.3865,48.16,73,20,14.97,light rain
116,Husavik,IS,2022-04-11 22:20:40,66.0449,-17.3389,30.36,93,100,8.57,overcast clouds
117,Innisfail,AU,2022-04-11 22:24:53,-17.5333,146.0333,78.87,88,89,8.23,light rain
118,Sioux Lookout,CA,2022-04-11 22:23:35,50.1001,-91.917,46.47,34,75,16.11,broken clouds
119,Agirish,RU,2022-04-11 22:24:53,61.9247,63.0231,34.48,98,66,7.34,broken clouds
120,Pisco,PE,2022-04-11 22:19:52,-13.7,-76.2167,69.85,68,0,25.32,clear sky
121,Leh,IN,2022-04-11 22:24:54,34.1667,77.5833,31.78,52,100,4.92,overcast clouds
122,The Valley,AI,2022-04-11 22:23:28,18.217,-63.0578,78.94,78,20,6.91,few clouds
123,Vozhega,RU,2022-04-11 22:24:54,60.4725,40.2213,33.12,99,100,3.04,overcast clouds
124,Ekhabi,RU,2022-04-11 22:24:55,53.5102,142.9671,28.31,88,100,15.66,overcast clouds
125,Saint-Louis,SN,2022-04-11 22:20:54,16.3333,-15.0,80.55,33,71,13.06,broken clouds
126,Jumla,NP,2022-04-11 22:20:32,29.2747,82.1838,49.73,76,45,4.45,scattered clouds
127,Santa Maria,BR,2022-04-11 22:21:28,-29.6842,-53.8069,70.9,83,20,3.44,light rain
128,Egvekinot,RU,2022-04-11 22:22:53,66.3167,-179.1667,14.67,88,100,9.62,overcast clouds
129,Moussoro,TD,2022-04-11 22:24:55,13.6408,16.4901,89.28,17,22,4.94,few clouds
130,Kumluca,TR,2022-04-11 22:19:32,36.3703,30.2869,55.96,58,1,7.05,clear sky
131,Nara,JP,2022-04-11 22:22:28,34.6851,135.8049,65.97,66,12,2.15,few clouds
132,Ancud,CL,2022-04-11 22:20:43,-41.8697,-73.8203,48.22,91,76,9.73,broken clouds
133,Newark,US,2022-04-11 22:24:46,40.7357,-74.1724,64.94,46,75,11.5,broken clouds
134,El Alto,PE,2022-04-11 22:24:56,-4.2714,-81.2147,73.06,75,50,19.04,scattered clouds
135,Puerto Ayora,EC,2022-04-11 22:20:46,-0.7393,-90.3518,84.16,91,89,5.99,overcast clouds
136,Sao Filipe,CV,2022-04-11 22:21:31,14.8961,-24.4956,71.31,75,62,9.55,broken clouds
137,Aljezur,PT,2022-04-11 22:24:56,37.3191,-8.8033,54.86,90,41,10.31,scattered clouds
138,Milkovo,RU,2022-04-11 22:23:21,54.7167,158.6167,26.33,83,100,2.91,overcast clouds
139,Severo-Kurilsk,RU,2022-04-11 22:20:40,50.6789,156.125,30.54,76,19,5.93,few clouds
140,Ninghai,CN,2022-04-11 22:24:57,29.2892,121.4247,63.46,94,49,1.83,scattered clouds
141,Thinadhoo,MV,2022-04-11 22:22:46,0.5333,72.9333,83.95,69,10,12.55,clear sky
142,Ukiah,US,2022-04-11 22:20:07,39.1502,-123.2078,53.49,50,40,18.41,scattered clouds
