City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Bemidji,US,2022-04-06 00:45:46,47.4736,-94.8803,35.06,99,100,11.5
100,Egvekinot,RU,2022-04-06 00:46:41,66.3167,-179.1667,-2.11,79,37,2.55
101,Mayumba,GA,2022-04-06 00:46:41,-3.432,10.6554,77.14,93,100,6.17
102,Nikolskoye,RU,2022-04-06 00:46:42,59.7035,30.7861,26.8,78,100,12.17
103,Hambantota,LK,2022-04-06 00:46:42,6.1241,81.1185,73.74,100,20,1.14
104,Fairbanks,US,2022-04-06 00:45:02,64.8378,-147.7164,33.6,54,0,5.75
105,Van,TR,2022-04-06 00:46:42,38.4924,43.3831,49.35,40,40,9.22
106,Nahrin,AF,2022-04-06 00:46:43,36.0649,69.1334,63.36,27,7,7.9
107,Clyde River,CA,2022-04-06 00:46:43,70.4692,-68.5914,-3.77,84,0,3.44
108,Kingman,US,2022-04-06 00:46:43,35.1894,-114.053,87.19,12,0,16.11
109,Henties Bay,NA,2022-04-06 00:46:44,-22.116,14.2845,60.3,84,0,7.18
110,Port Elizabeth,ZA,2022-04-06 00:46:44,-33.918,25.5701,64.09,74,0,19.57
111,Yambio,SS,2022-04-06 00:46:44,4.5721,28.3955,71.02,69,66,4.09
112,Caravelas,BR,2022-04-06 00:46:45,-17.7125,-39.2481,76.66,85,57,4.9
113,Saint George,US,2022-04-06 00:46:45,37.1041,-113.5841,82.99,15,0,21.85
114,Zapolyarnyy,RU,2022-04-06 00:46:45,69.4154,30.8136,27.68,91,100,20.62
115,Esperance,AU,2022-04-06 00:43:11,-33.8667,121.9,62.44,66,91,8.46
116,Kanniyakumari,IN,2022-04-06 00:46:46,8.0833,77.5667,80.85,75,85,3.27
117,Kaabong,UG,2022-04-06 00:46:46,3.4836,34.1492,70.84,51,11,13.18
118,Arraial Do Cabo,BR,2022-04-06 00:46:46,-22.9661,-42.0278,76.53,89,8,13.29
119,Shenjiamen,CN,2022-04-06 00:46:47,29.9576,122.298,59.43,79,100,1.59
120,Jurm,AF,2022-04-06 00:46:47,36.8648,70.8342,53.2,39,0,6.35
121,Lakes Entrance,AU,2022-04-06 00:46:47,-37.8811,147.981,61.16,75,100,10.04
122,Russell,US,2022-04-06 00:45:23,32.3502,-85.1999,63.63,90,75,4.61
123,Kununurra,AU,2022-04-06 00:44:41,-15.7667,128.7333,87.78,62,8,6.91
124,Kondinskoye,RU,2022-04-06 00:46:48,59.6481,67.41,26.01,92,100,16.22
125,Coquimbo,CL,2022-04-06 00:43:25,-29.9533,-71.3436,61.72,77,6,2.42
126,Kamenka,RU,2022-04-06 00:46:48,51.3223,42.7678,37.72,66,100,14.14
127,College,US,2022-04-06 00:46:49,64.8569,-147.8028,33.58,55,75,5.75
128,Karratha,AU,2022-04-06 00:46:49,-20.7377,116.8463,87.91,48,6,3.13
129,Khasan,RU,2022-04-06 00:46:49,42.4308,130.6434,38.44,27,0,19.93
130,Deputatskiy,RU,2022-04-06 00:46:50,69.3,139.9,-5.71,93,78,3.2
131,Gravdal,NO,2022-04-06 00:46:50,68.1214,13.5031,32.58,61,100,15.08
132,Hamilton,US,2022-04-06 00:45:27,39.1834,-84.5333,54.45,96,100,6.91
133,San Quintin,MX,2022-04-06 00:46:14,30.4833,-115.95,63.63,73,1,6.64
134,Yulara,AU,2022-04-06 00:47:51,-25.2406,130.9889,73.24,56,10,13.8
135,Qaanaaq,GL,2022-04-06 00:47:51,77.484,-69.3632,11.39,90,100,1.52
136,Vila Franca Do Campo,PT,2022-04-06 00:47:51,37.7167,-25.4333,54.01,78,35,2.93
137,Jibuti,DJ,2022-04-06 00:47:52,11.5,42.5,71.51,74,0,10.89
138,Innisfail,AU,2022-04-06 00:44:00,-17.5333,146.0333,84.22,61,95,6.04
139,Kutum,SD,2022-04-06 00:47:52,14.2,24.6667,76.96,17,0,10.0
140,Sudbury,CA,2022-04-06 00:46:05,46.49,-80.99,41.97,76,100,3.85
141,Salta,AR,2022-04-06 00:45:49,-24.7859,-65.4117,64.58,82,40,5.01
142,Jacareacanga,BR,2022-04-06 00:47:53,-6.2222,-57.7528,74.62,93,100,2.51
143,Darnah,LY,2022-04-06 00:47:53,32.767,22.6367,65.61,63,54,14.83
144,Radford,US,2022-04-06 00:47:53,37.1318,-80.5764,57.31,98,100,8.05
145,Ribeira Grande,PT,2022-04-06 00:47:54,38.5167,-28.7,60.71,88,46,14.0
146,Calama,CL,2022-04-06 00:47:54,-22.4667,-68.9333,59.31,14,96,3.0
147,Jamestown,US,2022-04-06 00:45:22,42.097,-79.2353,55.04,49,0,6.91
148,Loandjili,CG,2022-04-06 00:47:54,-4.7561,11.8578,77.11,94,20,5.75
149,Nhulunbuy,AU,2022-04-06 00:47:55,-12.2333,136.7667,88.41,70,40,5.75
150,Almaznyy,RU,2022-04-06 00:47:55,48.0448,40.045,34.21,71,95,8.39
151,Bengkulu,ID,2022-04-06 00:47:55,-3.8004,102.2655,77.11,81,100,3.09
152,San Vicente,AR,2022-04-06 00:46:41,-26.6167,-54.1333,65.44,98,90,1.86
153,Cidreira,BR,2022-04-06 00:47:56,-30.1811,-50.2056,66.65,76,3,5.75
154,Quebradillas,PR,2022-04-06 00:47:56,18.4738,-66.9385,76.23,94,67,4.27
155,Traralgon,AU,2022-04-06 00:47:56,-38.1833,146.5333,63.93,70,100,7.54
156,Mitsamiouli,KM,2022-04-06 00:47:56,-11.3847,43.2844,81.12,75,2,5.46
157,Imbituba,BR,2022-04-06 00:47:57,-28.24,-48.6703,73.81,91,99,2.68
158,Chunskiy,RU,2022-04-06 00:47:57,56.0815,99.6342,36.01,96,100,2.51
159,Vicuna,CL,2022-04-06 00:45:22,-30.0319,-70.7081,71.28,39,0,1.07
160,Metro,ID,2022-04-06 00:47:58,-5.1131,105.3067,77.97,83,100,1.57
161,East London,ZA,2022-04-06 00:47:58,-33.0153,27.9116,65.8,70,51,10.54
162,Rawson,AR,2022-04-06 00:44:30,-43.3002,-65.1023,70.16,41,100,15.93
163,Pasighat,IN,2022-04-06 00:47:58,28.0667,95.3333,69.12,90,100,1.97
164,Vega De Alatorre,MX,2022-04-06 00:47:59,20.0333,-96.6333,80.49,62,11,6.02
